"author_id"|"author_name"|"author_books_written"
1000|"Ashley Adams"|9
1001|"Jesse Arellano"|19
1002|"Erika Webb"|15
1003|"Megan Daniels"|3
1004|"Patrick Sullivan"|2
1005|"Jorge Davis"|9
1006|"Bradley Young"|0
1007|"Jessica Williams"|19
1008|"Jacqueline Brooks"|12
1009|"Megan Wood"|20
1010|"Diamond Thompson"|15
1011|"Mr. Nicholas Morgan"|0
1012|"Brittany Braun"|14
1013|"Olivia Johnson"|8
1014|"Ryan Cuevas"|7
1015|"Emily Conley"|20
1016|"Charles Jones"|18
1017|"Donna Shea DVM"|19
1018|"Leah Stone"|4
1019|"Michael Smith"|19
1020|"Stephanie Perez"|10
1021|"Jon Blackwell"|16
1022|"Matthew Cooley"|17
1023|"Ronald Pierce"|16
1024|"Jessica Davis"|8
1025|"Ashlee Sanders"|6
1026|"Deborah Bailey"|20
